Publisher,Game,Year,Genre,North America,Europe,Japan,Rest of World,Global
Namco Bandai Games,Project CARS 2,2017,Racing,0.1,0.35,0.02,0.08,0.55
Activision,Skylanders: Trap Team,2014,Platform,0.25,0.18,0,0.09,0.52
EA Sports,NHL 17,2016,Sports,0.32,0.11,0,0.09,0.52
Namco Bandai Games,One Piece: Pirate Warriors 3,2015,Action,0.11,0.22,0.11,0.06,0.52
Codemasters,DiRT Rally,2016,Racing,0.13,0.3,0,0.08,0.51
Deep Silver,Homefront: The Revolution,2016,Shooter,0.11,0.29,0.04,0.07,0.5
Tecmo Koei,Attack on Titan (KOEI),2016,Action,0.08,0.24,0.12,0.06,0.5
Codemasters,DiRT 4,2017,Racing,0.1,0.3,0.02,0.07,0.49
Sony Interactive Entertainment,Farpoint,2017,Shooter,0,0.38,0.04,0.06,0.48
2K Games,Battleborn,2016,Shooter,0.25,0.12,0.03,0.08,0.48
Electronic Arts,A Way Out,2018,Action,0.23,0.16,0,0.08,0.48
Gun Media,Friday the 13th: The Game,2017,Action,0.29,0.09,0.03,0.08,0.48
Telltale Games,The Walking Dead: A Telltale Games Series,2014,Adventure,0.12,0.26,0.03,0.07,0.48
Bethesda Softworks,Wolfenstein: The Old Blood,2015,Shooter,0.13,0.25,0.02,0.07,0.48
Activision,Deadpool,2015,Action,0.26,0.13,0,0.08,0.47
Square Enix,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,2016,Action,0.05,0.09,0.3,0.03,0.47
Ubisoft,TrackMania Turbo,2016,Racing,0.04,0.35,0,0.07,0.47
Sony Interactive Entertainment,Knack 2,2017,Platform,0.14,0.25,0.01,0.07,0.47
Ubisoft,Just Dance 2014,2013,Music,0.21,0.18,0,0.08,0.47
Square Enix,Dissidia Final Fantasy NT,2018,Fighting,0.19,0.06,0.16,0.05,0.46
Activision,Skylanders: SuperChargers,2015,Action-Adventure,0.29,0.09,0,0.08,0.45
Sega,Yakuza Kiwami,2016,Adventure,0.13,0.07,0.21,0.04,0.45
Namco Bandai Games,Tales of Zestiria,2015,Role-Playing,0.18,0.16,0.04,0.07,0.45
Square Enix,Star Ocean 5: Integrity and Faithlessness,2016,Role-Playing,0.1,0.13,0.16,0.05,0.45
Square Enix,Sleeping Dogs,2014,Action,0.16,0.21,0,0.07,0.44
Activision,Skylanders SWAP Force,2013,Misc,0.23,0.14,0,0.08,0.44
Activision,Skylanders Imaginators,2016,Platform,0.18,0.18,0,0.07,0.43
Ubisoft,Trials Fusion,2014,Misc,0.13,0.23,0.01,0.07,0.43
Deep Silver,Saints Row IV,2015,Action,0.15,0.18,0.03,0.06,0.42
Bethesda Softworks,Dishonored,2015,Action,0.12,0.21,0.02,0.06,0.42
Electronic Arts,Mirror's Edge 2,2016,Platform,0.13,0.19,0.03,0.06,0.42
Koch Media,Farming Simulator 2015,2015,Simulation,0.13,0.22,0,0.07,0.41
Ubisoft,Just Dance 2015,2014,Music,0.21,0.13,0,0.07,0.41
Namco Bandai Games,Sword Art Online: Hollow Realization,2016,Role-Playing,0.18,0.06,0.12,0.05,0.41
Ubisoft,Just Dance 2016,2015,Music,0.19,0.13,0,0.07,0.39
Warner Bros. Interactive Entertainment,Batman: Arkham VR,2016,Action,0.32,0,0,0.07,0.39
Namco Bandai Games,Little Nightmares,2017,Platform,0.18,0.12,0.02,0.06,0.39
Kalypso Media,Tropico 5,2015,Simulation,0.07,0.18,0.08,0.05,0.38
